date,day_of_week,month,is_weekend,is_holiday,weather_score,nearby_event,occupancy_rate,daily_revenue,review_score,negative_rate
2023-02-21,1,2,0,0,5,0,0.6558,19951,4.35,0.0664
2023-02-22,2,2,0,0,4,0,0.6136,19796,4.41,0.0651
2023-02-23,3,2,0,0,4,0,0.6424,20546,4.28,0.0659
2023-02-24,4,2,0,0,4,0,0.6258,19617,4.52,0.0661
2023-02-25,5,2,1,0,3,1,0.7334,33076,4.51,0.0829
2023-02-26,6,2,1,0,2,1,0.7726,33406,4.4,0.0844
2023-02-27,0,2,0,0,3,0,0.639,19832,4.39,0.0834
2023-02-28,1,2,0,0,4,0,0.6007,17831,4.5,0.0878
2023-03-01,2,3,0,0,4,0,0.6798,20448,4.4,0.0627
2023-03-02,3,3,0,0,3,1,0.7163,25456,4.45,0.0629
2023-03-03,4,3,0,0,4,0,0.7036,21506,4.34,0.0753
2023-03-04,5,3,1,0,2,1,0.7593,30956,4.23,0.0864
2023-03-05,6,3,1,0,4,0,0.7953,30345,4.43,0.0531
2023-03-06,0,3,0,0,1,0,0.6724,20283,4.35,0.1161
2023-03-07,1,3,0,0,5,0,0.7231,22199,4.43,0.0713
2023-03-08,2,3,0,0,2,0,0.6691,21291,4.46,0.1076
2023-03-09,3,3,0,0,3,0,0.6972,21911,4.66,0.06
2023-03-10,4,3,0,0,3,0,0.6265,19135,4.28,0.0772
2023-03-11,5,3,1,0,5,1,0.8375,38896,4.56,0.0578
2023-03-12,6,3,1,0,4,0,0.7526,31017,4.55,0.0629
2023-03-13,0,3,0,0,5,0,0.6751,22202,4.37,0.0916
2023-03-14,1,3,0,0,3,0,0.6764,21143,4.33,0.0823
2023-03-15,2,3,0,0,3,0,0.6795,21635,4.47,0.056
2023-03-16,3,3,0,0,4,0,0.7002,21193,4.58,0.0737
2023-03-17,4,3,0,0,4,0,0.7465,24927,4.38,0.0847
2023-03-18,5,3,1,0,2,0,0.7581,30705,4.2,0.1
2023-03-19,6,3,1,0,2,0,0.7702,27494,4.18,0.0586
2023-03-20,0,3,0,0,5,0,0.7581,23722,4.61,0.049
2023-03-21,1,3,0,0,5,1,0.7361,26441,4.45,0.0701
2023-03-22,2,3,0,0,3,0,0.6528,20913,4.42,0.0598
2023-03-23,3,3,0,0,3,0,0.6714,21746,4.27,0.0807
2023-03-24,4,3,0,0,3,0,0.6625,20013,4.37,0.058
2023-03-25,5,3,1,0,3,0,0.7935,30513,4.34,0.0715
2023-03-26,6,3,1,0,5,1,0.8512,36447,4.52,0.0773
2023-03-27,0,3,0,0,3,0,0.6958,19710,4.21,0.0927
2023-03-28,1,3,0,0,3,0,0.6938,21915,4.76,0.089
2023-03-29,2,3,0,0,2,0,0.6239,19624,4.18,0.0737
2023-03-30,3,3,0,0,1,0,0.6224,18579,4.47,0.1083
2023-03-31,4,3,0,0,4,0,0.6853,20644,4.57,0.0807
2023-04-01,5,4,1,0,3,0,0.7859,28509,4.54,0.0972
2023-04-02,6,4,1,0,3,1,0.8479,37455,4.37,0.0588
2023-04-03,0,4,0,0,3,0,0.7634,23026,4.45,0.0687
2023-04-04,1,4,0,1,2,0,0.8201,36498,4.4,0.0725
2023-04-05,2,4,0,1,5,0,0.8463,37353,4.37,0.0747
2023-04-06,3,4,0,1,3,0,0.8213,35546,4.47,0.0536
2023-04-07,4,4,0,0,3,0,0.7565,22460,4.34,0.0704
2023-04-08,5,4,1,0,3,0,0.8436,31647,4.55,0.0493
2023-04-09,6,4,1,0,4,0,0.7847,29173,4.49,0.0656
2023-04-10,0,4,0,0,4,1,0.837,29403,4.45,0.0642
2023-04-11,1,4,0,0,4,0,0.784,24057,4.37,0.0622
2023-04-12,2,4,0,0,2,0,0.7448,25168,4.42,0.0853
2023-04-13,3,4,0,0,3,0,0.6958,20832,4.17,0.0669
2023-04-14,4,4,0,0,4,0,0.7625,23582,4.52,0.0363
2023-04-15,5,4,1,0,5,0,0.8124,32623,4.47,0.0613
2023-04-16,6,4,1,0,4,0,0.8464,32824,4.39,0.0534
2023-04-17,0,4,0,0,3,0,0.7637,23373,4.47,0.0745
2023-04-18,1,4,0,0,3,0,0.7428,22268,4.36,0.0759
2023-04-19,2,4,0,0,3,0,0.7682,25266,4.47,0.0974
2023-04-20,3,4,0,0,3,0,0.7058,23337,4.48,0.0709
2023-04-21,4,4,0,0,2,0,0.787,24681,4.34,0.0994
2023-04-22,5,4,1,0,4,1,0.8783,38657,4.68,0.085
2023-04-23,6,4,1,0,3,0,0.812,31024,4.44,0.0839
2023-04-24,0,4,0,0,4,0,0.7678,23547,4.3,0.0445
2023-04-25,1,4,0,0,4,1,0.7929,27066,4.39,0.0933
2023-04-26,2,4,0,0,3,0,0.7478,23076,4.09,0.0693
2023-04-27,3,4,0,0,5,0,0.8234,26847,4.41,0.0505
2023-04-28,4,4,0,0,2,1,0.8678,31316,4.36,0.0849
2023-04-29,5,4,1,0,3,1,0.8808,37219,4.45,0.0566
2023-04-30,6,4,1,0,4,0,0.8457,34430,4.13,0.0825
2023-05-01,0,5,0,1,3,0,0.9133,38867,4.3,0.0518
2023-05-02,1,5,0,1,4,0,0.9704,44052,4.58,0.0442
2023-05-03,2,5,0,1,1,0,0.8974,39528,4.22,0.0948
2023-05-04,3,5,0,1,2,0,0.9324,40994,4.33,0.1001
2023-05-05,4,5,0,1,4,0,0.9647,41158,4.53,0.0426
2023-05-06,5,5,1,0,3,1,0.9566,43060,4.4,0.0406
2023-05-07,6,5,1,0,4,0,0.8915,36635,4.21,0.0898
2023-05-08,0,5,0,0,3,1,0.8751,32006,4.45,0.0815
2023-05-09,1,5,0,0,5,0,0.8472,26371,4.48,0.0405
2023-05-10,2,5,0,0,4,0,0.8414,26056,4.45,0.0716
2023-05-11,3,5,0,0,3,0,0.8261,24765,4.49,0.0414
2023-05-12,4,5,0,0,4,0,0.8403,27248,4.64,0.0816
2023-05-13,5,5,1,0,3,1,0.905,37095,4.39,0.0642
2023-05-14,6,5,1,0,2,0,0.8904,33158,4.29,0.0633
2023-05-15,0,5,0,0,3,0,0.8042,26147,4.32,0.1073
2023-05-16,1,5,0,0,4,1,0.8692,32166,4.39,0.0671
2023-05-17,2,5,0,0,3,0,0.8541,25898,4.44,0.0924
2023-05-18,3,5,0,0,4,0,0.8558,26100,4.53,0.0804
2023-05-19,4,5,0,0,3,0,0.8052,24873,4.42,0.0771
2023-05-20,5,5,1,0,3,0,0.8953,35218,4.53,0.0804
2023-05-21,6,5,1,0,4,0,0.9125,32713,4.52,0.0666
2023-05-22,0,5,0,0,3,0,0.8048,26169,4.43,0.078
2023-05-23,1,5,0,0,5,0,0.8692,26558,4.47,0.0583
2023-05-24,2,5,0,0,3,0,0.8309,25428,4.59,0.0533
2023-05-25,3,5,0,0,2,0,0.8408,26439,4.47,0.0641
2023-05-26,4,5,0,0,5,0,0.8532,27753,4.39,0.087
2023-05-27,5,5,1,0,3,0,0.8818,35831,4.65,0.0569
2023-05-28,6,5,1,0,3,0,0.8637,31945,4.33,0.0539
2023-05-29,0,5,0,0,1,0,0.7937,24995,4.51,0.0733
2023-05-30,1,5,0,0,3,1,0.8987,32074,4.46,0.0742
2023-05-31,2,5,0,0,4,0,0.849,27009,4.48,0.1029
2023-06-01,3,6,0,1,3,0,0.8868,37457,4.38,0.0824
2023-06-02,4,6,0,1,2,1,0.98,45966,4.29,0.0879
2023-06-03,5,6,1,0,4,0,0.9121,32900,4.65,0.0905
2023-06-04,6,6,1,0,2,0,0.8515,32190,4.38,0.091
2023-06-05,0,6,0,0,4,0,0.8133,24564,4.27,0.0565
2023-06-06,1,6,0,0,4,0,0.7991,25153,4.43,0.0859
2023-06-07,2,6,0,0,3,0,0.7826,25437,4.51,0.0964
2023-06-08,3,6,0,0,3,0,0.8072,26300,4.53,0.0753
2023-06-09,4,6,0,0,4,0,0.8456,27068,4.43,0.0684
2023-06-10,5,6,1,0,3,0,0.8811,33300,4.46,0.0839
2023-06-11,6,6,1,0,1,0,0.8519,32775,4.18,0.0971
2023-06-12,0,6,0,0,4,0,0.8101,25496,4.46,0.0913
2023-06-13,1,6,0,0,5,0,0.8417,26457,4.39,0.0692
2023-06-14,2,6,0,0,3,0,0.8046,24399,4.58,0.045
2023-06-15,3,6,0,0,1,0,0.7517,23807,4.5,0.0889
2023-06-16,4,6,0,0,4,0,0.7666,21812,4.47,0.0618
2023-06-17,5,6,1,0,4,0,0.8811,33070,4.3,0.0778
2023-06-18,6,6,1,0,5,0,0.9234,35318,4.69,0.047
2023-06-19,0,6,0,0,3,0,0.8124,25592,4.41,0.0728
2023-06-20,1,6,0,0,3,0,0.7656,25265,4.41,0.0861
2023-06-21,2,6,0,0,5,0,0.8284,26318,4.51,0.0736
2023-06-22,3,6,0,0,4,0,0.8192,26283,4.43,0.0888
2023-06-23,4,6,0,0,2,0,0.766,25619,4.31,0.0679
2023-06-24,5,6,1,0,2,0,0.8659,32383,4.3,0.057
2023-06-25,6,6,1,0,1,0,0.8336,28905,4.15,0.0981
2023-06-26,0,6,0,0,4,0,0.7909,24627,4.43,0.051
2023-06-27,1,6,0,0,4,0,0.8031,25084,4.46,0.0372
2023-06-28,2,6,0,0,2,0,0.7554,23304,4.53,0.0994
2023-06-29,3,6,0,0,4,0,0.8383,27122,4.45,0.0568
2023-06-30,4,6,0,0,4,0,0.8381,26813,4.57,0.0584
2023-07-01,5,7,1,0,2,1,0.98,42670,4.64,0.0705
2023-07-02,6,7,1,0,4,0,0.9607,36177,4.45,0.0679
2023-07-03,0,7,0,0,5,0,0.9322,28416,4.47,0.0948
2023-07-04,1,7,0,0,4,0,0.9008,28239,4.54,0.0486
2023-07-05,2,7,0,0,2,0,0.8587,25002,4.4,0.0954
2023-07-06,3,7,0,0,4,0,0.8582,25206,4.48,0.0814
2023-07-07,4,7,0,0,3,0,0.9007,28058,4.44,0.0772
2023-07-08,5,7,1,0,3,0,0.98,39709,4.42,0.0667
2023-07-09,6,7,1,0,4,1,0.98,41198,4.49,0.0784
2023-07-10,0,7,0,0,3,0,0.9113,25192,4.61,0.0375
2023-07-11,1,7,0,0,2,0,0.8343,27239,4.29,0.0918
2023-07-12,2,7,0,0,5,0,0.9021,26700,4.59,0.0565
2023-07-13,3,7,0,0,3,0,0.9178,29610,4.43,0.058
2023-07-14,4,7,0,0,1,0,0.8446,28541,4.39,0.0927
2023-07-15,5,7,1,0,4,0,0.9502,36201,4.47,0.0614
2023-07-16,6,7,1,0,4,1,0.98,42199,4.5,0.0308
2023-07-17,0,7,0,0,1,0,0.8849,27991,4.48,0.0412
2023-07-18,1,7,0,0,3,0,0.9054,27074,4.54,0.048
2023-07-19,2,7,0,0,5,0,0.8952,30069,4.44,0.0675
2023-07-20,3,7,0,0,4,0,0.898,28427,4.75,0.0632
2023-07-21,4,7,0,0,5,0,0.9373,30633,4.55,0.0454
2023-07-22,5,7,1,0,3,0,0.9632,35869,4.48,0.0664
2023-07-23,6,7,1,0,5,0,0.98,38314,4.46,0.0753
2023-07-24,0,7,0,0,3,0,0.9069,29089,4.43,0.0844
2023-07-25,1,7,0,0,4,0,0.8917,27838,4.33,0.0427
2023-07-26,2,7,0,0,3,0,0.854,24348,4.37,0.046
2023-07-27,3,7,0,0,3,0,0.9142,29673,4.39,0.0972
2023-07-28,4,7,0,0,3,0,0.8196,27916,4.27,0.0425
2023-07-29,5,7,1,0,4,0,0.98,38480,4.56,0.0736
2023-07-30,6,7,1,0,5,0,0.98,38055,4.51,0.0599
2023-07-31,0,7,0,0,2,1,0.9182,32682,4.17,0.0818
2023-08-01,1,8,0,0,3,0,0.8672,28564,4.56,0.0418
2023-08-02,2,8,0,0,4,0,0.8455,26143,4.51,0.0517
2023-08-03,3,8,0,0,3,0,0.8368,26441,4.25,0.0731
2023-08-04,4,8,0,0,5,0,0.8861,29155,4.48,0.0581
2023-08-05,5,8,1,0,5,0,0.9591,36890,4.4,0.0517
2023-08-06,6,8,1,0,4,0,0.9228,34452,4.39,0.0765
2023-08-07,0,8,0,0,4,0,0.8616,27181,4.35,0.0977
2023-08-08,1,8,0,0,4,0,0.8851,28071,4.44,0.0626
2023-08-09,2,8,0,0,1,0,0.8519,28928,4.28,0.0654
2023-08-10,3,8,0,0,4,0,0.8477,28182,4.65,0.0578
2023-08-11,4,8,0,0,4,1,0.9414,36097,4.43,0.0593
2023-08-12,5,8,1,0,2,1,0.9667,40065,4.31,0.063
2023-08-13,6,8,1,0,2,0,0.9308,33520,4.42,0.0953
2023-08-14,0,8,0,0,4,0,0.9103,27027,4.67,0.0699
2023-08-15,1,8,0,0,3,0,0.8755,27398,4.52,0.0512
2023-08-16,2,8,0,0,3,0,0.8535,25667,4.36,0.0844
2023-08-17,3,8,0,0,4,0,0.8407,25898,4.59,0.0685
2023-08-18,4,8,0,0,4,0,0.8709,26836,4.47,0.0629
2023-08-19,5,8,1,0,4,0,0.921,33482,4.25,0.0708
2023-08-20,6,8,1,0,3,0,0.9429,39816,4.48,0.0749
2023-08-21,0,8,0,0,5,0,0.8985,27921,4.57,0.0597
2023-08-22,1,8,0,0,5,0,0.8731,28320,4.43,0.0537
2023-08-23,2,8,0,0,3,0,0.8567,26718,4.58,0.0729
2023-08-24,3,8,0,0,2,0,0.8379,26996,4.51,0.0949
2023-08-25,4,8,0,0,3,0,0.8241,25396,4.37,0.0642
2023-08-26,5,8,1,0,1,0,0.89,34901,4.35,0.0917
2023-08-27,6,8,1,0,3,0,0.905,34552,4.32,0.0728
2023-08-28,0,8,0,0,4,0,0.8704,28776,4.47,0.0601
2023-08-29,1,8,0,0,5,0,0.8702,26822,4.41,0.0677
2023-08-30,2,8,0,0,4,1,0.9415,35506,4.59,0.0401
2023-08-31,3,8,0,0,4,0,0.8471,26190,4.31,0.0391
2023-09-01,4,9,0,0,4,0,0.7727,21608,4.35,0.075
2023-09-02,5,9,1,0,4,0,0.8455,33220,4.46,0.0516
2023-09-03,6,9,1,0,3,0,0.8411,31094,4.39,0.0531
2023-09-04,0,9,0,0,4,0,0.7519,21944,4.59,0.0668
2023-09-05,1,9,0,0,5,1,0.8311,31162,4.37,0.0941
2023-09-06,2,9,0,0,3,0,0.8236,25073,4.53,0.0715
2023-09-07,3,9,0,0,4,0,0.7843,23733,4.48,0.0585
2023-09-08,4,9,0,0,4,0,0.7685,24154,4.26,0.0547
2023-09-09,5,9,1,0,3,0,0.8041,31540,4.57,0.0786
2023-09-10,6,9,1,0,3,0,0.8605,32043,4.28,0.0881
2023-09-11,0,9,0,0,3,0,0.8073,25747,4.49,0.1002
2023-09-12,1,9,0,0,1,1,0.78,29122,4.33,0.0928
2023-09-13,2,9,0,0,4,0,0.7905,25720,4.38,0.0558
2023-09-14,3,9,0,0,5,0,0.7675,22061,4.67,0.0528
2023-09-15,4,9,0,1,5,0,0.8846,37791,4.5,0.0769
2023-09-16,5,9,1,1,3,0,0.9435,48090,4.45,0.0864
2023-09-17,6,9,1,1,4,0,0.98,51710,4.51,0.0413
2023-09-18,0,9,0,0,5,1,0.892,31275,4.4,0.0731
2023-09-19,1,9,0,0,4,0,0.8015,26710,4.46,0.107
2023-09-20,2,9,0,0,3,0,0.7841,24835,4.58,0.0787
2023-09-21,3,9,0,0,2,0,0.7424,22374,4.24,0.0991
2023-09-22,4,9,0,0,4,0,0.7415,23545,4.55,0.0612
2023-09-23,5,9,1,0,4,0,0.8216,32367,4.42,0.0734
2023-09-24,6,9,1,0,3,0,0.8563,32391,4.66,0.0598
2023-09-25,0,9,0,0,5,0,0.768,22273,4.24,0.0882
2023-09-26,1,9,0,0,4,0,0.7614,26186,4.35,0.0723
2023-09-27,2,9,0,0,4,0,0.8257,27008,4.56,0.0759
2023-09-28,3,9,0,0,3,0,0.7484,23346,4.39,0.0633
2023-09-29,4,9,0,0,4,0,0.7745,25591,4.28,0.0661
2023-09-30,5,9,1,0,3,0,0.8291,31682,4.62,0.0763
2023-10-01,6,10,1,1,5,1,0.98,58107,4.64,0.0695
2023-10-02,0,10,0,1,2,0,0.9377,42272,4.6,0.1056
2023-10-03,1,10,0,1,3,0,0.9592,38505,4.52,0.0594
2023-10-04,2,10,0,1,3,0,0.9717,41083,4.35,0.018
2023-10-05,3,10,0,1,2,0,0.9451,43721,4.58,0.0753
2023-10-06,4,10,0,1,4,0,0.9468,41395,4.57,0.0805
2023-10-07,5,10,1,1,5,0,0.98,48989,4.39,0.0484
2023-10-08,6,10,1,0,5,0,0.98,36422,4.67,0.0567
2023-10-09,0,10,0,0,2,0,0.7864,25403,4.41,0.0843
2023-10-10,1,10,0,0,1,0,0.8046,25622,4.14,0.0799
2023-10-11,2,10,0,0,4,1,0.9305,31818,4.51,0.0424
2023-10-12,3,10,0,0,3,1,0.8742,32937,4.37,0.0529
2023-10-13,4,10,0,0,5,0,0.8507,26608,4.5,0.0764
2023-10-14,5,10,1,0,2,0,0.8769,33789,4.23,0.0411
2023-10-15,6,10,1,0,2,1,0.9724,43528,4.11,0.066
2023-10-16,0,10,0,0,4,0,0.8764,26546,4.43,0.0856
2023-10-17,1,10,0,0,2,0,0.8153,24624,4.28,0.0731
2023-10-18,2,10,0,0,4,0,0.8604,26572,4.42,0.0421
2023-10-19,3,10,0,0,5,0,0.8961,27872,4.44,0.1121
2023-10-20,4,10,0,0,2,0,0.8238,26881,4.35,0.0655
2023-10-21,5,10,1,0,3,0,0.9554,38272,4.43,0.081
2023-10-22,6,10,1,0,5,0,0.9704,36002,4.41,0.0766
2023-10-23,0,10,0,0,5,1,0.9422,33371,4.37,0.0687
2023-10-24,1,10,0,0,3,0,0.8569,28246,4.44,0.0725
2023-10-25,2,10,0,0,5,0,0.847,26878,4.42,0.0809
2023-10-26,3,10,0,0,2,0,0.8567,29498,4.42,0.0906
2023-10-27,4,10,0,0,2,0,0.837,25804,4.36,0.1063
2023-10-28,5,10,1,0,4,0,0.9585,36631,4.23,0.0525
2023-10-29,6,10,1,0,3,0,0.9038,34004,4.57,0.072
2023-10-30,0,10,0,0,2,0,0.8258,24813,4.53,0.0821
2023-10-31,1,10,0,0,4,0,0.8788,26946,4.51,0.0645
2023-11-01,2,11,0,0,4,0,0.6623,21646,4.33,0.0765
2023-11-02,3,11,0,0,3,0,0.659,20170,4.49,0.0534
2023-11-03,4,11,0,0,4,0,0.6338,19239,4.43,0.0773
2023-11-04,5,11,1,0,5,0,0.7559,30316,4.46,0.0661
2023-11-05,6,11,1,0,4,0,0.7401,27310,4.54,0.0686
2023-11-06,0,11,0,0,4,0,0.6576,20443,4.42,0.0766
2023-11-07,1,11,0,0,3,0,0.6565,20269,4.47,0.083
2023-11-08,2,11,0,0,1,1,0.6501,24419,4.21,0.1061
2023-11-09,3,11,0,0,5,0,0.6817,22832,4.36,0.0675
2023-11-10,4,11,0,0,1,0,0.6373,18596,4.15,0.0785
2023-11-11,5,11,1,0,4,0,0.7494,30744,4.4,0.0675
2023-11-12,6,11,1,0,4,0,0.7442,29903,4.3,0.0738
2023-11-13,0,11,0,0,2,1,0.726,26660,4.33,0.106
2023-11-14,1,11,0,0,4,0,0.6525,18868,4.44,0.0945
2023-11-15,2,11,0,0,5,0,0.7132,23421,4.6,0.0826
2023-11-16,3,11,0,0,3,0,0.6458,19470,4.64,0.0715
2023-11-17,4,11,0,0,5,0,0.673,22419,4.31,0.076
2023-11-18,5,11,1,0,3,0,0.7007,26865,4.34,0.0616
2023-11-19,6,11,1,0,5,0,0.7149,27362,4.22,0.0828
2023-11-20,0,11,0,0,3,0,0.6445,19503,4.41,0.0943
2023-11-21,1,11,0,0,4,0,0.6527,20910,4.4,0.0626
2023-11-22,2,11,0,0,2,0,0.6548,20447,4.51,0.0929
2023-11-23,3,11,0,0,5,0,0.6555,19213,4.16,0.05
2023-11-24,4,11,0,0,5,0,0.6338,20482,4.31,0.0769
2023-11-25,5,11,1,0,3,0,0.7504,29848,4.38,0.0566
2023-11-26,6,11,1,0,3,0,0.7223,26640,4.39,0.0723
2023-11-27,0,11,0,0,2,0,0.6426,20402,4.14,0.1155
2023-11-28,1,11,0,0,4,0,0.6741,21227,4.5,0.0773
2023-11-29,2,11,0,0,4,0,0.6325,19820,4.37,0.0716
2023-11-30,3,11,0,0,3,0,0.6262,19608,4.39,0.0595
2023-12-01,4,12,0,0,3,0,0.6132,19457,4.29,0.1021
2023-12-02,5,12,1,0,4,0,0.697,26046,4.56,0.0684
2023-12-03,6,12,1,0,4,0,0.6812,27006,4.48,0.0465
2023-12-04,0,12,0,0,3,0,0.623,20313,4.24,0.0689
2023-12-05,1,12,0,0,3,0,0.5807,18684,4.51,0.0977
2023-12-06,2,12,0,0,3,0,0.54,16305,4.45,0.1026
2023-12-07,3,12,0,0,3,0,0.5753,18151,4.25,0.0833
2023-12-08,4,12,0,0,3,0,0.595,18567,4.31,0.0746
2023-12-09,5,12,1,0,1,0,0.6178,25239,4.33,0.0909
2023-12-10,6,12,1,0,2,1,0.7201,30692,4.44,0.0967
2023-12-11,0,12,0,0,5,0,0.6303,20018,4.18,0.0579
2023-12-12,1,12,0,0,4,0,0.6479,22017,4.45,0.0816
2023-12-13,2,12,0,0,3,0,0.5725,17418,4.33,0.07
2023-12-14,3,12,0,0,3,1,0.5914,21927,4.23,0.0799
2023-12-15,4,12,0,0,3,0,0.5205,16052,4.46,0.1086
2023-12-16,5,12,1,0,4,0,0.6464,24718,4.69,0.0516
2023-12-17,6,12,1,0,3,1,0.7283,32051,4.54,0.0723
2023-12-18,0,12,0,0,2,0,0.596,18339,4.33,0.0906
2023-12-19,1,12,0,0,5,0,0.6238,19440,4.5,0.0743
2023-12-20,2,12,0,0,4,0,0.5809,17650,4.28,0.0974
2023-12-21,3,12,0,0,4,0,0.6235,19628,4.36,0.0793
2023-12-22,4,12,0,0,4,0,0.6174,19332,4.34,0.073
2023-12-23,5,12,1,0,5,0,0.7024,23801,4.47,0.0748
2023-12-24,6,12,1,0,1,0,0.6685,26641,4.19,0.0994
2023-12-25,0,12,0,0,3,0,0.5796,18707,4.47,0.0845
2023-12-26,1,12,0,0,3,0,0.6001,19108,4.28,0.0825
2023-12-27,2,12,0,0,4,0,0.6297,20204,4.41,0.0909
2023-12-28,3,12,0,0,2,0,0.5704,17265,4.17,0.095
2023-12-29,4,12,0,0,3,0,0.5332,16778,4.34,0.0664
2023-12-30,5,12,1,0,4,0,0.6198,23073,4.27,0.0611
2023-12-31,6,12,1,0,4,1,0.7537,32307,4.38,0.0398
2024-01-01,0,1,0,1,3,0,0.7096,30992,4.56,0.052
2024-01-02,1,1,0,0,2,1,0.571,20705,4.47,0.1157
2024-01-03,2,1,0,0,2,0,0.5858,17566,4.31,0.1041
2024-01-04,3,1,0,0,4,0,0.6077,18573,4.36,0.0492
2024-01-05,4,1,0,0,3,0,0.5731,17988,4.25,0.0939
2024-01-06,5,1,1,0,1,0,0.6128,23676,4.36,0.0825
2024-01-07,6,1,1,0,3,0,0.6233,23149,4.31,0.0882
2024-01-08,0,1,0,0,4,1,0.6848,24516,4.44,0.0711
2024-01-09,1,1,0,0,2,0,0.5217,16191,4.4,0.113
2024-01-10,2,1,0,0,1,0,0.5674,18577,4.26,0.1003
2024-01-11,3,1,0,0,3,0,0.5955,19474,4.34,0.0694
2024-01-12,4,1,0,0,5,0,0.5782,16383,4.29,0.0586
2024-01-13,5,1,1,0,3,0,0.6404,26020,4.41,0.0789
2024-01-14,6,1,1,0,3,0,0.687,26302,4.47,0.0564
2024-01-15,0,1,0,0,4,0,0.6225,18720,4.26,0.092
2024-01-16,1,1,0,0,4,0,0.5809,18585,4.31,0.0858
2024-01-17,2,1,0,0,3,0,0.5832,17465,4.44,0.069
2024-01-18,3,1,0,0,1,0,0.5468,16380,3.93,0.0953
2024-01-19,4,1,0,0,4,0,0.5915,18261,4.36,0.0845
2024-01-20,5,1,1,0,4,0,0.6866,27123,4.44,0.0728
2024-01-21,6,1,1,0,2,0,0.6698,26329,4.24,0.0846
2024-01-22,0,1,0,0,1,0,0.568,18820,4.1,0.0753
2024-01-23,1,1,0,0,1,0,0.5543,17329,4.26,0.1015
